0,1133967.6628688183,797759.9996695581,317508.62179382733,14702128,Transportation
1,391231.5127276841,291809.58951107156,98952.44618822675,19102205,Retail
2,229214.46437129859,226233.9961466887,150984.80760584772,07302C99,Vertical Mixed Use
3,28873.543462434052,16890.768415836243,7095.21859539021,12705712,Single Family - Attached
4,38870.7088759153,25705.811480269585,13525.012139011744,17503408,Multi-Family
5,50957.941080536686,20830.691278453258,20828.416157066647,12103313,Industrial
6,286359.55068387755,121979.56798065497,98306.73883313473,17512105,Multi-Family
7,44455.383921195564,28268.215088500012,4352.754645218086,16908209,Retail
8,72153.1068085703,23236.549724835808,9997.488409542178,18116207,Single Family - Detached
9,7898.137021464256,7855.347412257028,5783.17942856519,12306103,Multi-Family
10,52222.45731957962,39857.65213904275,35290.40854723507,12103103,Retail
11,9833.181782090074,9694.849806268261,8670.304886905735,12306103,Multi-Family
12,9839.714216004873,9800.967036392372,9120.582411607327,12306103,Multi-Family
13,49467.99054972829,30779.84678330585,7450.244605476075,14920356,Office
14,240737.44155228222,200769.4628582945,52121.11036780155,13308115,Retail
15,307660.1695937316,261070.00038769923,76735.19047510102,13306254,Retail
16,7628.960625216683,6154.144317105587,5929.583998079486,12306116,Multi-Family
17,8400.786401194651,6039.935169494119,5706.677352725363,12306103,Multi-Family
18,68291.13776873532,37258.749651479804,21372.146274539245,14701401,Warehouse/Distribution
19,9045.564162266985,8872.877718812531,8491.730950934636,12521107,Single Family - Attached
20,18106.104110230808,15043.463692211793,14080.533063057244,12521107,Office
21,8995.125713582092,5905.282542480425,5905.282542480425,12521107,Office
22,9012.558650664301,8091.40318113033,8091.40318113033,12521107,Retail
23,973762.2975865635,693549.3355904239,156605.4537565695,22144110,Retail
24,39892.95219147951,37215.61490500696,10659.05886625729,12901625,Retail
25,441601.72254486236,158558.52122264932,0,10509106,Civic/Institutional
26,714580.9851231123,511548.46424896,149922.77092620512,22317207,Retail
27,30469.149555025706,24205.72004968888,0,16106503,Retail
28,14099.037979311322,8464.85551724462,3016.9868555426674,16106503,Retail
29,16933.41689685519,14432.3476676924,11639.054351874709,12521107,Office
30,18080.133380103776,16525.055406648135,11578.018284226993,12521107,Office
31,18140.52741508068,10651.390370364785,10286.403539536212,12521107,Office
32,6339.682134462037,4453.920506808773,0,12306301,Office
33,474833.0868123573,314628.04250562395,151728.18664527815,20924302,Civic/Institutional
34,84580.35785774667,34186.19747335644,4248.795615264291,17124301,Retail
35,36627.81609337977,30009.81603791409,2120.4173226358157,10304128,Retail
36,631148.4765520522,243701.1463106614,65019.75503503227,10509106,Civic/Institutional
37,71785.89115329334,46448.57331663902,4368.129062499443,15705138,Retail
38,60047.20385933443,47511.27820585771,39371.282467887126,12305310,Retail
39,20180.832451633843,4614.314482554898,398.98999159101675,12305310,Retail
40,473720.15363361465,356441.6932008076,102038.28329171195,19102207,Retail
41,540409.7285891222,483196.30272259505,312421.4157061167,20516301,Warehouse/Distribution
42,23176.273953927994,5890.801683626748,0,17316315,Vacant
43,54578.63670990814,44865.194878725735,27820.30031425259,11908844,Warehouse/Distribution
44,2824.3704997520267,2404.4223568484786,0,11908844,Vacant
45,448714.0847883472,222180.57949663,56419.89075501714,22325303,Retail
46,102546.52187853203,67589.20165776373,5915.630587624864,17316315,Warehouse/Distribution
47,31475.534986502662,10782.44317957622,0,17316315,Office
48,34882.6535674941,21197.072648551166,6947.8993021107,17514203,Retail
49,89388.93817917784,82173.9517394615,61704.62019399698,14903201,Warehouse/Distribution
50,91936.38507277364,76030.87930197568,41712.37604900795,12103104,Retail
51,44909.0591862082,36210.65289372171,3728.9425072623485,10304128,Vacant
52,13698.272796225325,5137.252605461483,0,10304128,Retail
53,256656.69841102202,187785.83610824173,114266.72497787402,12703901,Civic/Institutional
54,388126.6017024038,143174.70413779403,19683.80840960612,10509106,Civic/Institutional
55,111931.39315247153,80306.78503147654,58112.31754014842,12103103,Retail
56,89025.52219559663,64599.93532079674,32677.460339563248,12103104,Retail
57,38390.82335356373,33306.562409848964,14288.878574837654,17902237,Horizontal Mixed Use Non-Residential
58,39200.88929522715,38657.73956812324,33405.5010095197,12306108,Retail
59,19621.51936527021,17311.62167184505,16371.77588052412,12306103,Multi-Family
60,19569.8472618058,18949.937353646685,17899.249935568518,12306103,Multi-Family
61,52721.01287649457,35451.18546005058,4635.809936614005,17313105,Retail
62,44504.94704019065,31320.632088136743,3032.654710447197,15705134,Retail
63,828454.0581194193,529973.6006146413,154485.80869308132,16102711,Retail
64,52242.540567494805,38902.683890570865,4973.30277512681,10316107,Retail
65,13433.729953372465,6624.341813143776,0,11907135,Vacant
66,24545.14666407111,21515.595387402383,16768.121320354476,12901315,Vacant
67,8184.635762000203,7003.141702696054,5116.749833819931,12901315,Vacant
68,8161.192982245759,7247.139852035951,6132.696454431831,12901315,Vacant
69,8184.139616442821,6460.687995974716,6094.951100580053,12901315,Vacant
70,16752.150847776444,13411.613388058991,12301.30210395596,12303605,Vacant
71,24557.785968388605,9738.970199954463,9738.970199954463,12510605,Retail
72,97537.14015838526,74132.05590769176,69897.97088063383,12510605,Multi-Family
73,7647.542228292653,4116.852658484756,0,11908205,Civic/Institutional
74,55519.74078411601,43445.468704016304,12046.244037866827,20924305,Retail
75,408461.14211906836,316474.29597594903,111838.53150465085,12104111,Multi-Family
76,38102.16703230684,31708.923861541356,13834.500927719599,12107709,Office
77,154496.32132099423,126064.01244320186,105206.00605317774,12306301,Vertical Mixed Use
78,124643.07830321431,99405.70068197788,79647.7652905747,12303605,Multi-Family
79,51810.496343561004,37956.870536856266,11644.19081946285,14920620,Multi-Family
