WatershedDistrict,LargeBasin,CreekBasin,Project,CollectionDate,Accela,ParcelNumber,Address,District,BuyoutAcreage85pct,TotalFunds
Yadkin,Back,Back,CPCC Cato Expansion Phase III,2015,LDC-2014-00057,10509106,8120 Grier Rd.,TP,,45000
Western Catawba,Beaverdam,Beaverdam,,,,,,,,
Central Catawba,Little Sugar,Briar,2100 Queens Road West,2014,SDRMFR-2010-00001,17503408,2100 Queens Road West,<1ACRE,0.538,32280
Central Catawba,Little Sugar,Briar,7-Eleven #35573,2013,LDC-2012-00081,12901625,1920 Central Avenue,DBD,0.62,37200
Central Catawba,Little Sugar,Briar,7-Eleven Wendover,2015,LDCR-2014-00004,15705134,801 N. Wendover Rd.,Redev,0.739,44340
Central Catawba,Little Sugar,Briar,Briar Creek-Chantilly BMPs,,,,,,,
Central Catawba,Little Sugar,Briar,Commonwealth Apartments,2016,LDUPED-2014-00024,12901315,,DBD,1.085,65100
Central Catawba,Little Sugar,Briar,Commonwealth Avenue Apartments,2012,LDUPED-2012-00012,8117604,1800 Commonwealth Avenue,DBD,0.7,42000
Central Catawba,Little Sugar,Briar,Croyden Townhomes,2015,LDC-2014-00001,17501506,2261 Selwyn Ave.,<1ACRE,0.397,23800
Central Catawba,Little Sugar,Briar,Kenwood Myers Park,2015,LDX-2014-00013,17503509,2321 Selwyn Ave.,Redev,0.51,34200
Central Catawba,Little Sugar,Briar,McDonald's Wendover Road,2013,LDC-2012-00034,15705138,1035 Wendover Road,Redev,1.099,65960
Central Catawba,Little Sugar,Briar,Private Residence,2010,LDC-2008-00434,18116207,3530 Foxcroft Road,Variance,0.55,33000
Central Catawba,Little Sugar,Briar,Ridgeway Ave. Apartments,2011,SDRMF-2011-00009,12705712,519 Ridgeway Ave.,Variance,0.6,36000
Central Catawba,Little Sugar,Briar,Walmart,2011,LDC-2009-00186,16102711,3800 E. Independence Blvd.,TSA&DBD,12.6,756000
Central Catawba,Little Sugar,Briar,Morningside Mews Townhomes - Phase One,2016,SDRMF-2015-00073,12902303,1504 Lyon Ct.,<1ACRE,0.38,22800
Yadkin,Caldwell,Caldwell,,,,,,,,
Western Catawba,Catawba,Catawba,,,,,,,,
Central Catawba,Clem,Clem,,,,,,,,
Central Catawba,McAlpine,Four Mile,InVue Security Corporate Office,2016,LDC-2015-00205,22325303,9209 Baybrook Ln.,Redev,2.66,159600
Western Catawba,Gar,Gar,,,,,,,,
Central Catawba,Sugar,Irwin,127 West Park Avenue Apartments,2015,LDUTOD-2014-00027,12306116,127 W. Park Ave.,TSA&DBD,0.17,10200
Central Catawba,Sugar,Irwin,145 W. Summit,2015,LDC-2014-00091,11908844,129 W. Summit,TSA&DBD,0.99,59400
Central Catawba,Sugar,Irwin,1616 Camden,2015,LDUTOD-2014-00032,12306108,1618 Camden Rd.,TSA&DBD,0.882,52900
Central Catawba,Sugar,Irwin,7-Eleven Freedom & Thrift,2015,LDC-2014-00003,7105106,1824 Freedom Dr.,<1ACRE,0.63,37800
Central Catawba,Sugar,Irwin,Blue Blaze Brewing,2016,LDC-2015-000215,7111417,528 S Turner Ave,BUFFER,N/A,6810
Central Catawba,Sugar,Irwin,Blythe Emulsion Plant,2009,LDC-2008-00426,7709113,2911 N. Graham St.,DBD,1.53,91800
Central Catawba,Sugar,Irwin,BofA Stadium Improvements,2014,LUUUMUDD-2013-00059,7328101,800 S. Mint,TSA,0.77,46200
Central Catawba,Sugar,Irwin,Camden Southline,2015,LDUTOD-2012-00049,12103103,2300 South Blvd.,TSA&DBD,2.99,179800
Central Catawba,Sugar,Irwin,Camden Studios,2016,LDUTOD-2012-00045,12306301,1717 Hawkins St,TSA,3.254,195240
Central Catawba,Sugar,Irwin,CATS - Maintenance of Way Addition,2014,LDC-2013-00122,14702128,3201 S. Tryon,TSA&DBD,0.93,55800
Central Catawba,Sugar,Irwin,Charlotte Fire Department Headquarters,2012,LDC-2011-00114,7902103,500 Dalton St.,DBD,2.9,174000
Central Catawba,Sugar,Irwin,Charlotte Fire Department Headquarters Add'l,2013,LDCR-2013-00004,7902103,500 Dalton St.,DBD,0.2,12000
Central Catawba,Sugar,Irwin,Charlotte Pipe & Foundry Phase 1B,2015,LDX-2014-00031,07326230A,1335 S. Clarkson St.,DBD,0.902,54100
Central Catawba,Sugar,Irwin,Charlotte Pipe Training Facility,2016,LDC-2015-00207,7325207,1000 S. Clarkson St,DBD,2.63,157800
Central Catawba,Sugar,Irwin,Galaxy Carwash,2015,LDX-2013-00019,11705103,3401 Wilkinson Blvd.,DBD,0.58,34800
Central Catawba,Sugar,Irwin,Gateway West Apartments,2012,LDUMUDD-2012-00008,7321802,204 Victoria Avenue,TSA,2.39,143400
Central Catawba,Sugar,Irwin,Greater Galilee Church P1B,2012,LDC-2011-00131,11907135,1622 S. Mint,TSA&DBD,0.16,9600
Central Catawba,Sugar,Irwin,Greater Galilee Church P1Parking Lot,2012,LDUMUDD-2011-00023,11908205,504 W. Park Ave.,TSA&DBD,0.5,30000
Central Catawba,Sugar,Irwin,Hawkins 2.9,2015,LDUTOD-2014-00065,12103313,2000 Hawkins St.,TSA&DBD,0.807,48420
Central Catawba,Sugar,Irwin,Johnson & Wales Student Activity Center,2010,LDUMUDD-2010-00004,73228106,215 S Cedar St,TSA&DBD,0.97,58200
Central Catawba,Sugar,Irwin,Lakewood,,,,,,,
Central Catawba,Sugar,Irwin,Moore Place,2012,LDC-2009-00121,7906207,2435 Lucena St.,DBD,0.2705,16230
Central Catawba,Sugar,Irwin,"Moore Place, Ph 2",2015,LDCR-2014-00024,7906207,929 Moretz Ave.,DBD,0.06,3600
Central Catawba,Sugar,Irwin,Morningstar Storage - Griffith Street,2014,LDX-2013-00049,14701401,3115 Griffith Street,TSA&DBD,0.88,52800
Central Catawba,Sugar,Irwin,Mosaic Village,2012,LDUPED-2011-00026,7101915,1601 W. Trade,DBD,1.99,119400
Central Catawba,Sugar,Irwin,Park and Kingston Apartments,2014,LDUTOD-2012-00017,12306103,121 W. Park Av.,DBD,0.98,58800
Central Catawba,Sugar,Irwin,Pickway Pond,,,,,,,
Central Catawba,Sugar,Irwin,Popeyes on Wilkinson Blvd. ,2014,LDX-2013-00023,6101131,3318 Wilkinson,DBD,0.75,45000
Central Catawba,Sugar,Irwin,Publix Southend,2015,LDUTOD-2013-00006,12103104,2222 South Blvd.,TSA&DBD,3.59,215400
Central Catawba,Sugar,Irwin,Romare Bearden Park,2012,LDUR-2011-00007,7302301,301 S. Mint St.,TSA,2.17,130200
Central Catawba,Sugar,Irwin,South Mint Apartments,2013,LDUUMUDD-2012-00019,07302C99,355 W Martin Luther King Jr Blvd.,TSA,0.242,14500
Central Catawba,Sugar,Irwin,Southline Apartments,2012,LDUTOD-2011-00033,12104111,2235 Hawkins,TSA&DBD,7.95,477000
Central Catawba,Sugar,Irwin,Trade and Graham Residential,2014,LDUUMUDD-2013-00039,7311305,427 W. Trade,TSA,1.24,74400
Central Catawba,Sugar,Irwin,Twelve - Parking Lot,2010,LDUMUDD-2009-00020,07302C99,355 W. Martin Luther King Blvd,DBD,0.97,58200
Central Catawba,Sugar,Irwin,BofA Stadium Security Improvements,2016,LDUUMUDD-2016-00010,7328101,800 S Mint St.,TSA,0.018,1080
Central Catawba,Sugar,Irwin,OMB Phase II,2016,LDC-2015-00253,14903201,4150 Yancey Rd.,DBD,0.51,30600
Western Catawba,Lake Wylie,Lake Wylie,,,,,,,,
Western Catawba,Long,Long,,,,,,,,
Yadkin,Lower Clarke,Lower Clarke,,,,,,,,
Central Catawba,Little Sugar,Lower Little Sugar,Bank of North Carolina,2012,LDUMUDD-2011-00038,17902237,5980 Fairview Road,<1ACRE,0.81,48600
Central Catawba,Little Sugar,Lower Little Sugar,McDonald's South Boulevard,2016,LDC-2014-00153,17313105,7051 South Bv,TSA,0.8079,48500
Central Catawba,Little Sugar,Lower Little Sugar,Quik Trip #1070,2014,LDC-2013-00029,17316315,7115 South Bv.,TSA,2.08,124800
Western Catawba,Lower Mtn Island,Lower Mtn Island,,,,,,,,
Yadkin,Mallard,Mallard,Circle University City ,2015,LDUR-2013-00004,4934207,9026 University Blvd.,Redev,2.11,159900
Yadkin,Mallard,Mallard,Dollar General,2010,LDC-2010-00019,4905506,6300 N Tryon St,DBD,0.832416667,49945
Yadkin,Mallard,Mallard,Wiki Wiki Carwash II,2013,LDX-2012-00055,4940111,7910 N Tryon St,TSA,0.87,52200
Central Catawba,McAlpine,McAlpine,Bojangles,2013,LDX-2012-00061,19102205,6100 E Independence Bv,TSA,0.687,41200
Central Catawba,McAlpine,McAlpine,Eastland Mall Wet Pond,,,,,,,
Central Catawba,McAlpine,McAlpine,Harris Teeter Ballantyne,2012,LDC-2012-00035,22317207,15007 John J Delaney Dr.,Redev,1,60000
Central Catawba,McAlpine,McAlpine,Hendrick Corporate Independence,2015,LDX-2015-00001,19102207,6030 E. Independence Blvd.,TSA,0.48,29000
Central Catawba,McAlpine,McAlpine,Hendrick Luxury Collision Center ,2012,LDX-2012-00002,13306254,5141 E. Independence,Redev,0.796666667,47800
Central Catawba,McAlpine,McAlpine,Hendrick Motors of Charlotte Autohaus,2014,LDX-2013-00037,13308115,5201 E Independence Blvd.,Redev,4.67,280000
Central Catawba,McAlpine,McAlpine,Independence Stormwater Master Plan,2016,LDX-2015-00037,19106115,7016 E Independence Bv,Redev,3.41,204500
Central Catawba,McAlpine,McAlpine,McDonald's,2011,LDC-2010-00001,10316107,6301 Albemarle Road,DBD,0.9,54000
Central Catawba,McAlpine,McAlpine,Quik Trip #1053,2014,LDC-2012-00012,10326102,6721 Albemarle,DBD,1.92,115200
Central Catawba,McAlpine,McAlpine,Quik Trip #1059,2015,LDC-2014-00160,10304128,5201 Central Ave.,DBD,1.76,105100
Central Catawba,McAlpine,McAlpine,Silver Stream Road ,2015,LDGEN-2014-00007,21127348,3343 Silver Stream Rd.,Redev,0.363,21800
Yadkin,McKee,McKee,,,,,,,,
Central Catawba,McAlpine,McMullen,7-Eleven #35580***,2014,LDX-2012-00036,22144110,7511 Pineville Matthews Rd.,Redev,0.55,33200
Central Catawba,McAlpine,McMullen,7-Eleven (Monroe),2013,LDC-2012-00147,16106503,5343 Monroe Rd.,DBD,0.7,42000
Central Catawba,McAlpine,McMullen,Birnen Pond,,,,,,,
Central Catawba,McAlpine,McMullen,Charlotte Catholic High School Parking Deck,2015,LDC-2014-00062,20924302,7702 Pineville-Matthews Rd.,Redev,2.849,226410
Central Catawba,McAlpine,McMullen,McDonald's Meridian Place,2016,LDC-2014-00140,19101113,720 Meridian Center Dr,TSA&DBD,0.94,56600
Central Catawba,McAlpine,McMullen,Silver Oak Apartments,2014,LDUMUDD-2012-00065,19101104,6201 Monroe,TSA&DBD,0.53,31800
Central Catawba,McAlpine,McMullen,Silver Oak Apartments Revision,2014,LDUR-2014-00001,19101111,6501 Monroe Rd.,TSA&DBD,1.3,78000
Central Catawba,McAlpine,McMullen,Silver Oak Block 1,2014,LDC-2013-00103,19101104,6201 Monroe,TSA&DBD,0.44,26450
Central Catawba,McAlpine,McMullen,"Walgreen's (Johnston, 51)",2012,LDC-2011-00093,20924305,7824 Pineville Matthews Rd.,Variance,1.01,60900
Western Catawba,Paw,Paw,FedEx Charlotte Hub Parking Expansion,2014,LDX-2013-00036,5714102,6600 CSX Way,DBD,0.47,28200
Yadkin,Reedy,Reedy,,,,,,,,
Yadkin,Six Mile,Six Mile,,,,,,,,
Central Catawba,Steele,Steele,,,,,,,,
Central Catawba,Sugar,Sugar,Cato Corporate Bldg Addition,2012,LDC-2011-00060,20516301,8100 Denmark Rd.,Variance,1.2,78000
Central Catawba,Sugar,Sugar,Home 2 By Hilton Airport,2015,LDC-2013-00208,6129107,2707 Little Rock Rd.,DBD,1.53,91800
Central Catawba,Sugar,Sugar,Wiki Wiki Carwash,2011,LDX-2010-00008,16908209,1036 Tyvola Rd.,TSA,0.63,37800
Yadkin,Twelve Mile,Twelve Mile,,,,,,,,
Central Catawba,Little Sugar,Upper Little Sugar,1201 Central Apartments,2016,LDUPED-2015-00037,8118101,934 Hawthorne Ln,DBD,3.13,187800
Central Catawba,Little Sugar,Upper Little Sugar,1305 Central Ave.,2015,LDUPED-2014-00051,8118113,1305 Central Ave.,DBD,2.18,168600
Central Catawba,Little Sugar,Upper Little Sugar,7-Eleven Tryon & Craighead,2014,LDX-2013-00051,8503101,3737 N. Tryon St.,DBD,0.73,43800
Central Catawba,Little Sugar,Upper Little Sugar,AAA Montford Drive,2013,LDX-2013-00011,17514203,1812 Montford Dr.,<1ACRE,0.49,29400
Central Catawba,Little Sugar,Upper Little Sugar,Bank of America South End,2016,LDC-2015-00122,12107401,212 Iverson Way,TSA,0.58,34800
Central Catawba,Little Sugar,Upper Little Sugar,Bank of the Ozarks,2012,LDUUMUDD-2011-00041,14920356,4126 Park Rd.,Redev,0.79,47400
Central Catawba,Little Sugar,Upper Little Sugar,Cambridge Apartments aka 1200 South Bv Apartments,2015,LDUTOD-2012-00007,12303605,1200 South Blvd.,TSA,2.66,159600
Central Catawba,Little Sugar,Upper Little Sugar,CATS N Davidson Renovation,2010,LDC-2010-00013,8108701,914 N Davidson St,TSA&DBD,0.98,58800
Central Catawba,Little Sugar,Upper Little Sugar,Charlotte Orthopedic Hospital - Phase 2 Building Package,2016,LDC-2015-00265,12703901,1901 Randolph Rd,Redev,1.355,91950
Central Catawba,Little Sugar,Upper Little Sugar,Clement Avenue Apartments,2014,LDUPED-2013-00018,8117503,1114 Clement Ave.,DBD,0.59,35400
Central Catawba,Little Sugar,Upper Little Sugar,Crescent Dilworth,2015,LDUPED-2013-00024,12521107,1400 Harding Pl.,Redev,1.875,138750
Central Catawba,Little Sugar,Upper Little Sugar,Crescent NODA,2016,LDUTOD-2015-00051,8303103,430 E 36th St,TSA,4.87,292200
Central Catawba,Little Sugar,Upper Little Sugar,Dilworth Court,2015,LDUTOD-2014-00058,12105606,321 E Tremont Ave.,<1ACRE,0.44,26400
Central Catawba,Little Sugar,Upper Little Sugar,Drexel Place Apartments,2013,LDUMUDD-2012-00047,14920620,4320 Park Rd.,<1ACRE,0.89,53400
Central Catawba,Little Sugar,Upper Little Sugar,Duke Endowment,2015,LDUMUDD-2012-00058,12305310,800 E. Morehead,Redev,1.12,67300
Central Catawba,Little Sugar,Upper Little Sugar,First Ward Elementary School Demo,2012,LDUUMUDD-2011-00047,8007201,401 E. 9th St.,TSA,0.72,43200
Central Catawba,Little Sugar,Upper Little Sugar,First Ward Park,2016,LDUUMUDD-2013-00055,8002105,301 E 7th St,TSA,1.4,84000
Central Catawba,Little Sugar,Upper Little Sugar,Graham Street Self Storage,2016,LDC-2015-00244,7811301,435 W Liddell St,DBD,0.93,55800
Central Catawba,Little Sugar,Upper Little Sugar,Grove at Cherry (Separate Block),2015,SDRSF-2014-00052,12523425,1504 Luther St.,<1ACRE,0.53,31800
Central Catawba,Little Sugar,Upper Little Sugar,Grove at Cherry (Variance),2015,SDRSF-2014-00052,12523428,1805 Baxter St.,Variance,1.01,60900
Central Catawba,Little Sugar,Upper Little Sugar,Hawthorne Medical Office Building,2016,LDC-2015-00220,8019808,325 Hawthorne Ln,Redev,1.02,61800
Central Catawba,Little Sugar,Upper Little Sugar,Ideal Way Townhomes,2015,SDRMF-2014-00040,12107601,301 Ideal Way,<1ACRE,0.61,36600
Central Catawba,Little Sugar,Upper Little Sugar,Lofts at Seigle Point,2011,LDUMUDD-2010-00001,8108612,1035 E. 10th St.,DBD,1.95,117000
Central Catawba,Little Sugar,Upper Little Sugar,Long Animal Hospital,2012,LDUMUDD-2011-00030,12107709,2517 South Bv.,TSA,0.76,45600
Central Catawba,Little Sugar,Upper Little Sugar,Midwood Square,2015,LDUPED-2014-00025,8117713,720 Lamar Ave.,DBD,1.8,108000
Central Catawba,Little Sugar,Upper Little Sugar,NODA Brewing,2015,LDC-2015-00013,8501414,2921 N Tryon St.,DBD,0.716,43000
Central Catawba,Little Sugar,Upper Little Sugar,Nolen Place,2015,LDXR-2015-00003,15304217,1200 Queens Rd.,Redev,0.93,55800
Central Catawba,Little Sugar,Upper Little Sugar,North Carolina Dance Theater ,2009,LDUMUDD-2008-00079,7804504,701 N. Tryon St,TSA,0.776,46560
Central Catawba,Little Sugar,Upper Little Sugar,OmniSource,2011,LDC-2011-00011,8505401,419 Atando Ave.,DBD,1.82,109200
Central Catawba,Little Sugar,Upper Little Sugar,Park Road Park Bioretention,,,,,,,
Central Catawba,Little Sugar,Upper Little Sugar,Skyhouse Charlotte,2014,LDUUMUDD-2013-00002,7803301,631 N Tryon St.,TSA,1.21,72300
Central Catawba,Little Sugar,Upper Little Sugar,South Kings Midtown,2016,LUMUDD-2012-00060,12510605,137 S Kings Dr,TSA,1.88,112800
Central Catawba,Little Sugar,Upper Little Sugar,Southpark Auto Bell,2012,LDC-2011-00179,17124301,5606 Park Road,Redev,0.9,54000
Central Catawba,Little Sugar,Upper Little Sugar,Stratford Apartments,2016,SDRMFR-2014-00003,17512105,5115 Park Rd,Redev,3.28,265200
Central Catawba,Little Sugar,Upper Little Sugar,UNCC Uptown Campus,2010,LDUUMUDD-2009-00019,8004307,517 N. Brevard St.,TSA,0.6435,38610
Central Catawba,Little Sugar,Upper Little Sugar,Yards at NODA Apartments,2013,LDUMUDD-2012-00056,8303142,401 E 33rd St.,DBD,7.04,422400
